# ATP-8 30-Minute Endurance Test
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz,lat,lon
3570,-0.3494,-0.0502,9.7531,2.7311,0.0110,0.0200,0.0447,0.000000,0.000000
3584,-0.3398,-0.0670,9.7340,2.6984,0.0118,0.0231,0.0446,0.000000,0.000000
3598,-0.3733,-0.0479,9.7603,2.7111,0.0079,0.0247,0.0435,0.000000,0.000000
3612,-0.3613,-0.0694,9.7196,2.6570,0.0096,0.0179,0.0466,0.000000,0.000000
3626,-0.3565,-0.0359,9.7173,2.6414,0.0133,0.0214,0.0431,0.000000,0.000000
3640,-0.3446,-0.0837,9.7436,2.6543,0.0093,0.0226,0.0444,0.000000,0.000000
3654,-0.3517,-0.0383,9.7388,2.6363,0.0095,0.0176,0.0435,0.000000,0.000000
3668,-0.3709,-0.0933,9.7388,2.6231,0.0104,0.0220,0.0473,0.000000,0.000000
3682,-0.3829,-0.0814,9.7508,2.6219,0.0093,0.0232,0.0490,0.000000,0.000000
3696,-0.3374,-0.0502,9.7268,2.5850,0.0081,0.0263,0.0455,0.000000,0.000000
3710,-0.3398,-0.0502,9.7412,2.5864,0.0102,0.0228,0.0451,0.000000,0.000000
3724,-0.3565,-0.0502,9.7268,2.5591,0.0067,0.0260,0.0467,0.000000,0.000000
3738,-0.3374,-0.0455,9.7196,2.5392,0.0069,0.0260,0.0451,0.000000,0.000000
3752,-0.3326,-0.0670,9.7149,2.5217,0.0078,0.0257,0.0476,0.000000,0.000000
3766,-0.3972,-0.0622,9.6981,2.4925,0.0110,0.0218,0.0478,0.000000,0.000000
3780,-0.3565,-0.0742,9.7340,2.5157,0.0118,0.0258,0.0460,0.000000,0.000000
3794,-0.3541,-0.0766,9.7603,2.5293,0.0069,0.0237,0.0443,0.000000,0.000000
3808,-0.3517,-0.0646,9.7149,2.4714,0.0102,0.0246,0.0455,0.000000,0.000000
3822,-0.3182,-0.0766,9.6981,2.4424,0.0110,0.0231,0.0475,0.000000,0.000000
