timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz,lat,lon
3080,-0.7825,-0.1890,9.5761,3.1816,0.0124,0.0221,0.0464,-33.957771,18.461006
3094,-0.7896,-0.1962,9.4923,3.0824,0.0147,0.0234,0.0507,-33.957771,18.461006
3108,-0.7466,-0.1842,9.5569,3.1312,0.0078,0.0228,0.0469,-33.957771,18.461006
3122,-0.7561,-0.2034,9.5617,3.1203,0.0116,0.0231,0.0486,-33.957771,18.461006
3136,-0.7657,-0.1675,9.5569,3.1000,0.0140,0.0199,0.0490,-33.957771,18.461006
3150,-0.7585,-0.2249,9.5904,3.1178,0.0096,0.0214,0.0480,-33.957771,18.461006
3164,-0.7585,-0.1579,9.5402,3.0522,0.0151,0.0231,0.0481,-33.957771,18.461006
3178,-0.7513,-0.1914,9.5737,3.0703,0.0160,0.0234,0.0493,-33.957771,18.461006
3192,-0.7681,-0.1866,9.5019,2.9835,0.0102,0.0250,0.0483,-33.957771,18.461006
3206,-0.7466,-0.2297,9.4780,2.9448,0.0107,0.0200,0.0446,-33.957771,18.461006
3220,-0.7920,-0.1460,9.5641,3.0158,0.0111,0.0254,0.0452,-33.957771,18.461006
3234,-0.7561,-0.1723,9.5880,3.0245,0.0104,0.0208,0.0489,-33.957771,18.461006
3248,-0.7442,-0.2082,9.5713,2.9927,0.0116,0.0214,0.0493,-33.957771,18.461006
3262,-0.7729,-0.1675,9.5521,2.9587,0.0127,0.0214,0.0475,-33.957771,18.461006
3276,-0.7418,-0.1819,9.5809,2.9725,0.0105,0.0241,0.0437,-33.957771,18.461006
3290,-0.7801,-0.1890,9.5665,2.9433,0.0128,0.0195,0.0478,-33.957771,18.461006
3304,-0.7992,-0.1555,9.5163,2.8786,0.0108,0.0231,0.0513,-33.957771,18.461006
3318,-0.7633,-0.1819,9.5163,2.8642,0.0139,0.0231,0.0473,-33.957771,18.461006
3332,-0.7753,-0.1771,9.5593,2.8928,0.0122,0.0235,0.0496,-33.957771,18.461006
3346,-0.7657,-0.1292,9.5450,2.8640,0.0124,0.0252,0.0473,-33.957771,18.461006
3360,-0.7633,-0.1747,9.5545,2.8592,0.0110,0.0241,0.0507,-33.957771,18.461006
3374,-0.7442,-0.1603,9.5354,2.8259,0.0122,0.0234,0.0467,-33.957771,18.461006
3388,-0.7801,-0.1699,9.5761,2.8522,0.0119,0.0223,0.0472,-33.957771,18.461006
3402,-0.7585,-0.1651,9.5378,2.7999,0.0142,0.0223,0.0469,-33.957771,18.461006
3416,-0.7585,-0.1866,9.5737,2.8216,0.0115,0.0240,0.0460,-33.957771,18.461006
3430,-0.7633,-0.2177,9.5258,2.7598,0.0130,0.0237,0.0516,-33.957771,18.461006
3444,-0.7537,-0.1747,9.5067,2.7270,0.0124,0.0173,0.0515,-33.957771,18.461006
3458,-0.7801,-0.1723,9.5593,2.7657,0.0148,0.0255,0.0484,-33.957771,18.461006
3472,-0.7753,-0.1699,9.5498,2.7424,0.0125,0.0218,0.0470,-33.957771,18.461006
3486,-0.7657,-0.1699,9.5952,2.7739,0.0128,0.0249,0.0480,-33.957771,18.461006
3500,-0.7729,-0.1914,9.5450,2.7100,0.0099,0.0208,0.0495,-33.957771,18.461006
3514,-0.7537,-0.1747,9.5521,2.7036,0.0113,0.0223,0.0480,-33.957771,18.461006
3528,-0.7681,-0.1819,9.5474,2.6854,0.0136,0.0237,0.0463,-33.957771,18.461006
3542,-0.7466,-0.1603,9.5210,2.6457,0.0125,0.0234,0.0460,-33.957771,18.461006
3556,-0.7346,-0.1938,9.5665,2.6778,0.0145,0.0218,0.0461,-33.957771,18.461006
3570,-0.7896,-0.1890,9.5617,2.6596,0.0089,0.0235,0.0455,-33.957771,18.461006
3584,-0.7681,-0.1842,9.5186,2.6034,0.0148,0.0205,0.0480,-33.957771,18.461006
3598,-0.7370,-0.2249,9.5139,2.5857,0.0090,0.0261,0.0502,-33.957771,18.461006
3612,-0.7609,-0.2082,9.5569,2.6156,0.0127,0.0200,0.0475,-33.957771,18.461006
3626,-0.7753,-0.1866,9.5067,2.5525,0.0116,0.0287,0.0469,-33.957771,18.461006
3640,-0.7944,-0.1627,9.5354,2.5683,0.0153,0.0249,0.0486,-33.957771,18.461006
3654,-0.7848,-0.1651,9.5593,2.5793,0.0072,0.0234,0.0475,-33.957771,18.461006
3668,-0.7848,-0.1699,9.5593,2.5664,0.0127,0.0212,0.0522,-33.957771,18.461006
3682,-0.7561,-0.1484,9.5713,2.5655,0.0159,0.0221,0.0496,-33.957771,18.461006
3696,-0.7705,-0.1890,9.5450,2.5265,0.0122,0.0220,0.0486,-33.957771,18.461006
3710,-0.7825,-0.1723,9.5474,2.5162,0.0118,0.0232,0.0487,-33.957771,18.461006
3724,-0.7920,-0.1675,9.5258,2.4822,0.0119,0.0252,0.0457,-33.957771,18.461006
3738,-0.7705,-0.1795,9.5186,2.4626,0.0104,0.0228,0.0458,-33.957771,18.461006
3752,-0.7944,-0.1771,9.5474,2.4789,0.0122,0.0224,0.0481,-33.957771,18.461006
3766,-0.7920,-0.1938,9.5258,2.4451,0.0101,0.0267,0.0492,-33.957771,18.461006
3780,-0.7681,-0.1699,9.4995,2.4067,0.0137,0.0249,0.0489,-33.957771,18.461006
3794,-0.7537,-0.1795,9.5426,2.4375,0.0142,0.0241,0.0493,-33.957771,18.461006
3808,-0.7825,-0.1747,9.5378,2.4205,0.0147,0.0272,0.0463,-33.957771,18.461006
