# ATP-2 IMU Static Accuracy
phase,sample,az_raw,az_filt,timestamp_ms
STATIC,224,9.7101,-0.0138,107401
STATIC,225,9.6885,-0.0351,107429
STATIC,226,9.7101,-0.0135,107457
STATIC,227,9.6790,-0.0444,107484
STATIC,228,9.7077,-0.0156,107512
STATIC,229,9.7244,0.0011,107540
STATIC,230,9.7292,0.0059,107568
STATIC,231,9.7053,-0.0180,107595
STATIC,232,9.6981,-0.0250,107623
STATIC,233,9.7364,0.0132,107651
STATIC,234,9.7125,-0.0107,107679
STATIC,235,9.6885,-0.0344,107706
STATIC,236,9.7173,-0.0057,107734
STATIC,237,9.7340,0.0110,107762
STATIC,238,9.7555,0.0324,107795
STATIC,239,9.7364,0.0132,107821
STATIC,240,9.7077,-0.0155,107850
STATIC,241,9.7220,-0.0011,107877
STATIC,242,9.7268,0.0037,107906
STATIC,243,9.7340,0.0108,107932
STATIC,244,9.7029,-0.0202,107961
STATIC,245,9.6814,-0.0416,107987
STATIC,246,9.7244,0.0015,108016
STATIC,247,9.7173,-0.0056,108043
STATIC,248,9.7005,-0.0223,108072
STATIC,249,9.6933,-0.0293,108098
STATIC,250,9.6718,-0.0506,108128
STATIC,251,9.6814,-0.0408,108154
STATIC,252,9.7149,-0.0073,108183
STATIC,253,9.7436,0.0213,108214
STATIC,254,9.7316,0.0093,108242
STATIC,255,9.7555,0.0331,108270
STATIC,256,9.7603,0.0377,108298
STATIC,257,9.7149,-0.0077,108325
STATIC,258,9.7316,0.0090,108353
STATIC,259,9.7436,0.0208,108381
STATIC,260,9.7484,0.0255,108409
STATIC,261,9.7220,-0.0008,108436
STATIC,262,9.7699,0.0468,108464
STATIC,263,9.7508,0.0275,108492
STATIC,264,9.7220,-0.0012,108520
STATIC,265,9.6885,-0.0345,108547
STATIC,266,9.7747,0.0513,108575
STATIC,267,9.7436,0.0201,108602
STATIC,268,9.7460,0.0224,108630
STATIC,269,9.7101,-0.0134,108662
STATIC,270,9.7149,-0.0086,108689
STATIC,271,9.7196,-0.0038,108718
STATIC,272,9.7268,0.0034,108745
STATIC,273,9.7220,-0.0014,108771
STATIC,274,9.7340,0.0105,108797
STATIC,275,9.7555,0.0319,108826
